"Filled Jobs  by Sector by Sex and Status in Employment (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Public Sector","","","","","","","","","Private Sector","","","","","","","","","Total All Sectors","","","","","","","",""
" ","Male","","","Female","","","Total Both Sexes","","","Male","","","Female","","","Total Both Sexes","","","Male","","","Female","","","Total Both Sexes","",""
" ","Part-Time Paid Employee","Full-Time Paid Employee","Total Status in Employment","Part-Time Paid Employee","Full-Time Paid Employee","Total Status in Employment","Part-Time Paid Employee","Full-Time Paid Employee","Total Status in Employment","Part-Time Paid Employee","Full-Time Paid Employee","Total Status in Employment","Part-Time Paid Employee","Full-Time Paid Employee","Total Status in Employment","Part-Time Paid Employee","Full-Time Paid Employee","Total Status in Employment","Part-Time Paid Employee","Full-Time Paid Employee","Total Status in Employment","Part-Time Paid Employee","Full-Time Paid Employee","Total Status in Employment","Part-Time Paid Employee","Full-Time Paid Employee","Total Status in Employment"
"1995Q2",18900,97900,116800,66200,106500,172600,85100,204400,289400,80200,426500,506700,189400,229900,419300,269600,656400,926000,99100,524400,623500,255600,336400,591900,354700,860700,1215400
"1995Q3",18500,98200,116600,64400,107900,172300,82900,206100,289000,83700,429100,512900,200700,234000,434700,284400,663100,947600,102200,527300,629500,265100,341900,607100,367300,869200,1236600
"1995Q4",17600,98400,116100,64600,108200,172800,82200,206700,288900,86100,434900,521000,205500,236700,442200,291600,671600,963200,103700,533300,637000,270100,344900,615000,373800,878200,1252100
"1996Q1",15900,98000,113900,61600,109700,171300,77500,207700,285200,77600,444600,522200,195800,246200,442000,273400,690800,964200,93500,542600,636100,257400,355900,613300,350900,898500,1249400
"1996Q2",19200,97300,116500,64300,108400,172700,83500,205800,289200,86600,444100,530700,205600,243700,449300,292200,687800,980000,105800,541500,647300,269900,352100,622000,375700,893600,1269300
"1996Q3",19100,93900,113000,64700,109100,173800,83800,203000,286800,90700,449500,540200,212700,249200,461900,303400,698700,1002100,109800,543400,653200,277400,358300,635700,387200,901700,1288900
"1996Q4",21600,94300,116000,66400,108000,174500,88000,202400,290400,94000,454800,548700,216800,250900,467700,310800,705700,1016400,115600,549100,664700,283200,358900,642200,398800,908100,1306900
"1997Q1",20000,92400,112400,58700,104600,163400,78700,197000,275700,78200,451600,529800,197300,250900,448300,275500,702600,978100,98200,544100,642200,256100,355500,611600,354200,899600,1253800
"1997Q2",21100,92000,113100,67500,108600,176000,88600,200500,289100,90300,456200,546400,216100,252500,468600,306400,708600,1015000,111300,548100,659500,283600,361000,644600,394900,909200,1304100
"1997Q3",22200,91500,113700,69500,108400,178000,91700,199900,291600,94600,455300,550000,223700,256700,480400,318300,712100,1030400,116800,546800,663700,293200,365200,658400,410000,912000,1322000
"1997Q4",21800,90400,112300,71100,106200,177200,92900,196600,289500,96500,458700,555200,228300,257500,485800,324800,716200,1041000,118400,549100,667400,299400,363700,663100,417800,912700,1330500
"1998Q1",18600,89000,107500,63000,105400,168400,81600,194300,275900,83600,458700,542300,213700,257000,470700,297300,715700,1013000,102200,547600,649800,276700,362400,639100,378900,910000,1288900
"1998Q2",21500,88900,110400,68800,104800,173700,90300,193700,284000,94500,458600,553100,227900,259800,487700,322400,718400,1040800,116000,547400,663400,296700,364700,661400,412700,912100,1324800
"1998Q3",21600,87300,109000,70500,105100,175600,92200,192400,284600,96600,451800,548400,232100,257300,489300,328700,709000,1037700,118300,539100,657400,302600,362400,665000,420900,901500,1322300
"1998Q4",27900,82000,109900,72700,108000,180700,100500,190000,290500,99600,448400,548000,234100,258700,492800,333700,707100,1040800,127500,530400,657900,306800,366700,673500,434300,897100,1331400
"1999Q1",25200,83200,108400,65700,108200,173900,90900,191400,282300,97500,458800,556300,228500,262000,490600,326000,720800,1046800,122700,542000,664700,294200,370200,664500,416900,912200,1329100
"1999Q2",26900,81000,107900,72500,108800,181300,99500,189800,289300,99600,451500,551000,233000,259800,492800,332500,711300,1043800,126500,532500,659000,305500,368600,674100,432000,901100,1333100
"1999Q3",26300,81100,107400,72600,108300,181000,98900,189500,288400,100900,444800,545700,232800,259700,492500,333700,704500,1038200,127200,525900,653100,305400,368000,673500,432600,894000,1326600
"1999Q4",26400,80300,106700,74100,108700,182900,100500,189100,289600,103300,454900,558200,241700,268200,509900,345000,723100,1068100,129700,535300,665000,315800,376900,692800,445500,912200,1357700
"2000Q1",20500,82800,103300,64700,104000,168700,85200,186800,271900,104600,462200,566800,238900,273100,512000,343500,735300,1078800,125000,545000,670100,303600,377100,680700,428600,922100,1350700
"2000Q2",21900,83900,105700,71800,108000,179700,93600,191800,285500,107100,455100,562200,248800,272100,520900,355900,727200,1083100,128900,539000,668000,320600,380000,700600,449500,919000,1368600
"2000Q3",21700,83100,104700,71900,108400,180300,93500,191500,285000,107700,454600,562300,256600,274100,530800,364300,728700,1093000,129300,537700,667000,328500,382500,711000,457800,920200,1378000
"2000Q4",22600,84800,107400,71100,109900,181000,93700,194700,288400,111700,463700,575300,262000,276800,538800,373700,740500,1114200,134300,548500,682700,333100,386700,719800,467400,935200,1402500
"2001Q1",20300,83400,103700,67600,108900,176500,87900,192300,280200,110200,467800,578000,254400,279500,533900,364600,747300,1111900,130500,551200,681700,322000,388400,710300,452500,939600,1392100
"2001Q2",22300,83900,106100,71600,110300,181800,93800,194100,288000,109700,474600,584300,253000,281800,534800,362700,756400,1119100,132000,558500,690500,324500,392100,716600,456500,950600,1407100
"2001Q3",22600,82600,105200,71400,110700,182100,94000,193400,287300,107200,468100,575300,258500,280900,539400,365800,749000,1114800,129800,550700,680500,330000,391600,721600,459700,942400,1402100
"2001Q4",22400,83400,105900,72200,112500,184700,94700,195900,290600,113700,484600,598300,266200,285200,551500,379900,769800,1149700,136100,568000,704200,338500,397700,736200,474600,965800,1440400
"2002Q1",19300,90500,109800,63200,114700,177900,82500,205200,287700,109400,490600,600000,254800,286500,541300,364100,777100,1141200,128700,581100,709800,318000,401200,719100,446700,982300,1428900
"2002Q2",23900,91000,114900,73700,117400,191100,97500,208400,306000,110800,493700,604400,263600,288400,552000,374400,782100,1156400,134600,584700,719300,337300,405800,743100,471900,990500,1462400
"2002Q3",22200,90900,113100,74100,116200,190200,96200,207100,303300,107700,485300,592900,264600,288700,553300,372300,774000,1146200,129800,576100,706000,338600,404900,743500,468500,981000,1449500
"2002Q4",22200,92200,114300,74600,118400,193000,96800,210500,307300,108700,497900,606600,273000,296100,569100,381600,794000,1175600,130900,590000,720900,347600,414500,762000,478400,1004500,1482900
"2003Q1",19600,92100,111700,67400,118400,185800,87000,210500,297500,101500,505100,606500,266300,301200,567500,367800,806300,1174100,121100,597200,718300,333700,419600,753300,454800,1016700,1471600
"2003Q2",22900,93400,116300,76700,120600,197300,99600,214000,313600,108300,503200,611500,266200,297100,563300,374500,800300,1174800,131200,596600,727800,342900,417700,760600,474100,1014300,1488400
"2003Q3",23000,94500,117600,78300,121600,199900,101300,216100,317400,105600,493900,599500,273600,293700,567300,379200,787600,1166800,128600,588500,717100,351900,415300,767200,480500,1003700,1484200
"2003Q4",22700,96400,119100,80500,125100,205600,103200,221500,324600,108700,509000,617700,277100,302600,579700,385700,811700,1197400,131400,605400,736800,357500,427800,785300,488900,1033200,1522100
"2004Q1",17800,97500,115300,63800,126600,190500,81700,224100,305800,108000,515300,623400,270600,307100,577700,378600,822400,1201000,125800,612800,738600,334500,433700,768100,460300,1046500,1506800
"2004Q2",22800,97300,120100,74800,126800,201600,97600,224100,321600,109500,520500,629900,275800,311600,587400,385200,832100,1217300,132300,617800,750000,350600,438400,788900,482800,1056200,1539000
"2004Q3",23500,97400,120900,76900,129500,206400,100300,226900,327300,104400,518000,622400,280400,306000,586400,384800,824000,1208800,127900,615400,743200,357300,435500,792800,485200,1050900,1536100
"2004Q4",22900,98300,121200,79000,129300,208300,101900,227600,329500,108100,527600,635700,289200,315200,604400,397300,842800,1240100,131000,625900,756900,368300,444400,812700,499200,1070300,1569600
"2005Q1",18400,97300,115700,65700,124500,190200,84100,221800,305900,108200,540400,648500,282300,320000,602200,390400,860300,1250800,126500,637600,764200,347900,444500,792400,474500,1082100,1556600
"2005Q2",20200,98300,118500,59900,127100,187000,80100,225300,305500,111900,531900,643700,288500,318500,607000,400300,850400,1250700,132100,630100,762200,348400,445600,793900,480400,1075700,1556100
"2005Q3",21000,99900,120900,75100,131100,206300,96100,231000,327100,115300,532300,647600,288200,323100,611400,403500,855400,1258900,136300,632200,768500,363300,454300,817600,499600,1086400,1586100
"2005Q4",21000,101900,122900,76700,133900,210500,97700,235700,333400,114400,537600,652000,289900,327200,617100,404300,864800,1269100,135400,639500,774900,366600,461100,827700,502000,1100600,1602600
"2006Q1",16600,101700,118400,56600,129100,185600,73200,230800,304000,115800,550700,666500,284800,333100,617900,400600,883900,1284400,132400,652400,784900,341300,462200,803500,473800,1114600,1588400
"2006Q2",19100,103200,122300,71300,135100,206300,90400,238300,328700,116000,549600,665600,279400,330000,609400,395400,879700,1275000,135100,652800,787900,350700,465100,815800,485800,1117900,1603700
"2006Q3",19900,102500,122400,75100,134100,209200,95000,236600,331600,113300,540200,653500,281300,332800,614000,394600,873000,1267600,133200,642700,775900,356400,466900,823300,489600,1109600,1599100
"2006Q4",19900,103300,123100,74400,134400,208900,94300,237700,332000,121000,555400,676400,282500,338700,621200,403500,894200,1297700,140800,658700,799500,357000,473100,830100,497800,1131800,1629600
"2007Q1",16100,101800,117900,54500,130600,185100,70600,232400,303000,118200,558200,676500,280100,339100,619200,398300,897400,1295700,134300,660000,794300,334500,469800,804300,468900,1129800,1598600
"2007Q2",20700,102600,123300,74700,134000,208700,95400,236600,332000,121100,559700,680800,279700,339400,619100,400700,899100,1299900,141700,662300,804000,354400,473500,827900,496100,1135800,1631900
"2007Q3",21300,103800,125100,76200,135500,211800,97500,239400,336900,119800,556100,675900,280300,336400,616600,400000,892400,1292500,141100,659900,801000,356500,471900,828400,497500,1131800,1629300
"2007Q4",22000,105000,127000,77000,135600,212600,99100,240500,339600,121500,573800,695300,287200,349600,636800,408700,923500,1332100,143500,678800,822300,364300,485200,849400,507800,1164000,1671700
"2008Q1",18100,104400,122500,60800,135300,196000,78900,239700,318500,116500,579500,696000,271600,347500,619200,388100,927000,1315100,134600,683900,818400,332400,482800,815200,467000,1166700,1633700
"2008Q2",22400,106300,128700,77000,136500,213500,99500,242800,342200,120600,573500,694100,280900,343200,624100,401500,916700,1318200,143000,679800,822800,358000,479700,837700,500900,1159500,1660500
"2008Q3",21000,107000,128100,77800,138500,216300,98900,245500,344400,115200,564000,679200,276300,340000,616300,391500,904100,1295500,136200,671100,807300,354100,478500,832600,490300,1149600,1639900
"2008Q4",19800,109300,129100,75800,140500,216400,95600,249800,345400,116800,559400,676200,276700,344400,621100,393400,903800,1297300,136500,668700,805300,352500,484900,837400,489000,1153600,1642700
"2009Q1",16900,108400,125400,60500,138900,199500,77500,247400,324900,114000,550700,664800,265900,340600,606500,379900,891400,1271300,131000,659200,790200,326400,479600,806000,457400,1138700,1596100
"2009Q2",20700,108300,129000,76400,137900,214200,97100,246200,343200,113300,540700,654000,271100,329000,600000,384400,869700,1254100,134000,649000,783000,347500,466800,814300,481500,1115800,1597300
"2009Q3",19400,106700,126100,70000,136700,206800,89400,243400,332800,113200,521700,634900,278200,328800,607000,391400,850500,1241900,132600,628400,761000,348200,465600,813800,480800,1093900,1574800
"2009Q4",18700,109300,128000,72000,140300,212300,90700,249600,340300,115400,531500,646900,281200,328900,610100,396500,860500,1257000,134100,640900,774900,353200,469200,822400,487200,1110100,1597300
"2010Q1",16100,110400,126500,63000,138900,201900,79100,249300,328400,118900,541700,660600,278400,335300,613700,397300,877000,1274300,135000,652100,787100,341400,474100,815600,476400,1126300,1602700
"2010Q2",20000,110100,130100,71800,140400,212300,91800,250500,342300,119400,548200,667500,281900,337700,619600,401200,885900,1287100,139300,658300,797600,353700,478200,831900,493000,1136400,1629500
"2010Q3",19800,113000,132800,72100,143400,215600,91900,256400,348400,118500,526800,645400,276900,330800,607700,395400,857600,1253000,138300,639900,778200,349000,474200,823200,487400,1114000,1601400
"2010Q4",18900,109900,128800,70200,141700,211900,89000,251600,340700,123700,531300,655000,284300,334300,618600,408000,865600,1273700,142600,641200,783800,354500,476100,830500,497000,1117300,1614300
"2011Q1",16500,112900,129400,63800,139700,203500,80300,252600,332900,122700,550400,673100,274900,344300,619200,397600,894700,1292300,139300,663200,802500,338700,484000,822700,477900,1147200,1625200
"2011Q2",21200,112800,134000,71400,144900,216300,92600,257700,350300,119900,553100,673000,281200,335100,616300,401000,888200,1289200,141100,665900,806900,352600,480000,832600,493600,1145900,1639500
"2011Q3",20900,111200,132100,72000,142900,214900,92900,254100,347000,118300,535500,653800,280000,330900,610900,398200,866400,1264700,139100,646700,785900,352000,473800,825800,491100,1120500,1611600
"2011Q4",19000,114300,133400,70900,144400,215200,89900,258700,348600,125300,547900,673200,282300,337800,620000,407600,885600,1293200,144400,662200,806600,353100,482100,835300,497500,1144400,1641900
"2012Q1",16200,114000,130100,63000,141400,204400,79200,255400,334500,120200,560500,680800,279900,347300,627100,400100,907800,1307900,136400,674500,810900,342900,488600,831500,479300,1163200,1642400
"2012Q2",18900,113600,132500,69900,142000,212000,88800,255700,344500,118200,557700,675900,283100,350700,633800,401300,908400,1309800,137100,671400,808500,353000,492700,845800,490200,1164100,1654300
"2012Q3",19800,116800,136600,73300,146300,219700,93200,263100,356300,114700,551100,665800,274300,341300,615600,389100,892400,1281400,134600,667900,802400,347700,487600,835300,482200,1155500,1637700
"2012Q4",20500,118500,139000,74900,150600,225400,95300,269100,364400,115000,553500,668500,280100,347800,628000,395100,901300,1296500,135400,672100,807500,355000,498400,853400,490400,1170500,1660900
"2013Q1",16200,118400,134600,65000,147300,212300,81200,265600,346900,117500,570500,688000,277200,357300,634500,394700,927800,1322500,133700,688900,822600,342200,504600,846800,475900,1193500,1669400
