" ","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force"
"2011Q2",96.7,20.6,105.6,222.9,52.6,17.6,43.4,117.3,40.2,5.2,27.7,73.1,62.1,11.5,55.0,45.4,36.4,7.8,33.8,78.1,56.7,17.6,46.7,44.2,490.7,25.1,106.8,622.7,82.8,4.9,78.8,515.8,165.2,6.3,27.9,199.4,86.0,3.7,82.9,171.5,180.0,6.1,37.9,223.9,83.1,3.3,80.4,186.0,122.3,4.6,160.9,287.9,44.1,3.7,42.5,126.9,49.8,1.5,58.1,109.4,46.9,2.9,45.5,51.3,69.3,2.1,72.1,143.5,49.8,2.9,48.3,71.4,709.7,50.4,373.3,1133.4,67.1,6.6,62.6,760.1,255.2,13.0,113.6,381.8,70.2,4.9,66.8,268.2,285.7,16.0,143.8,445.4,67.7,5.3,64.1,301.6
"2011Q3",99.0,18.2,104.1,221.3,53.0,15.5,44.7,117.2,43.2,6.5,27.2,76.9,64.6,13.0,56.2,49.7,34.5,4.9,35.7,75.0,52.5,12.4,45.9,39.3,495.9,26.8,105.2,627.8,83.2,5.1,79.0,522.7,161.3,6.3,28.7,196.4,85.4,3.8,82.2,167.7,178.3,7.4,34.7,220.4,84.3,4.0,80.9,185.7,126.7,3.1,157.9,287.7,45.1,2.4,44.0,129.8,49.7,"..",58.4,109.0,46.4,1.8,45.6,50.6,67.9,2.2,78.7,148.8,47.1,3.1,45.6,70.0,721.6,48.1,367.2,1136.9,67.7,6.2,63.5,769.6,254.3,13.7,114.3,382.3,70.1,5.1,66.5,268.0,280.6,14.4,149.1,444.2,66.4,4.9,63.2,295.1
"2011Q4",103.5,21.1,103.9,228.5,54.5,17.0,45.3,124.6,39.1,8.1,23.1,70.3,67.1,17.1,55.6,47.2,37.9,5.0,31.5,74.3,57.7,11.6,51.0,42.9,501.1,23.8,104.5,629.4,83.4,4.5,79.6,525.0,167.7,8.3,27.6,203.6,86.4,4.7,82.4,176.0,178.8,6.2,34.8,219.8,84.2,3.3,81.4,185.0,125.7,3.1,154.7,283.5,45.4,2.4,44.3,128.8,49.7,1.7,57.6,109.1,47.2,3.3,45.6,51.4,70.2,2.2,77.6,150.0,48.3,3.0,46.8,72.4,730.3,48.1,363.1,1141.5,68.2,6.2,64.0,778.4,256.5,18.1,108.4,383.0,71.7,6.6,67.0,274.6,286.9,13.3,143.8,444.1,67.6,4.4,64.6,300.2
"2012Q1",104.4,22.5,99.3,226.1,56.1,17.7,46.1,126.8,35.7,7.2,25.4,68.2,62.8,16.7,52.4,42.9,39.1,7.2,30.3,76.7,60.5,15.6,51.0,46.4,496.2,30.2,101.8,628.2,83.8,5.7,79.0,526.4,165.2,6.8,31.1,203.0,84.7,3.9,81.4,172.0,181.3,5.7,35.1,222.1,84.2,3.1,81.6,187.0,126.9,4.3,160.1,291.4,45.0,3.3,43.6,131.3,52.5,1.2,58.6,112.3,47.8,2.2,46.8,53.7,69.4,1.7,74.0,145.1,49.0,2.4,47.8,71.1,727.5,57.0,361.3,1145.7,68.5,7.3,63.5,784.4,253.4,15.1,115.0,383.6,70.0,5.6,66.1,268.5,289.8,14.7,139.4,443.8,68.6,4.8,65.3,304.5
"2012Q2",104.1,20.5,106.9,231.4,53.8,16.4,45.0,124.6,35.4,6.4,27.4,69.3,60.4,15.3,51.2,41.9,38.1,8.0,31.2,77.4,59.6,17.4,49.2,46.2,491.7,27.9,107.1,626.7,82.9,5.4,78.5,519.6,166.9,7.8,28.1,202.9,86.1,4.5,82.3,174.7,179.3,8.3,33.4,221.0,84.9,4.4,81.1,187.7,130.0,5.1,155.8,290.9,46.4,3.8,44.7,135.1,52.8,1.7,57.2,111.7,48.8,3.2,47.3,54.6,65.0,1.8,77.9,144.7,46.2,2.7,44.9,66.8,725.8,53.5,369.7,1149.0,67.8,6.9,63.2,779.3,255.2,16.0,112.7,383.9,70.6,5.9,66.5,271.1,282.4,18.2,142.6,443.2,67.8,6.1,63.7,300.6
"2012Q3",96.5,20.8,109.6,226.9,51.7,17.7,42.5,117.3,36.5,6.7,31.6,74.8,57.8,15.4,48.9,43.2,40.3,6.5,26.7,73.5,63.6,13.9,54.8,46.8,491.5,31.5,109.3,632.3,82.7,6.0,77.7,523.1,163.7,8.7,31.5,203.9,84.5,5.1,80.3,172.4,180.9,6.3,31.0,218.3,85.8,3.4,82.9,187.3,129.4,7.9,155.9,293.1,46.8,5.7,44.1,137.2,49.4,2.1,53.9,105.4,48.8,4.0,46.9,51.5,70.2,1.9,79.5,151.7,47.6,2.6,46.3,72.2,717.4,60.2,374.8,1152.3,67.5,7.7,62.3,777.6,249.6,17.5,117.0,384.1,69.5,6.5,65.0,267.1,291.4,14.8,137.2,443.4,69.1,4.8,65.7,306.2
"2012Q4",95.1,20.7,107.6,223.3,51.8,17.9,42.6,115.8,32.1,8.7,27.7,68.5,59.6,21.3,46.9,40.8,43.3,7.8,25.6,76.7,66.7,15.3,56.4,51.2,497.6,24.6,111.0,633.2,82.5,4.7,78.6,522.2,168.4,7.5,33.8,209.7,83.9,4.3,80.3,175.9,183.2,3.9,33.6,220.6,84.8,2.1,83.0,187.1,133.7,4.7,161.9,300.3,46.1,3.4,44.5,138.4,44.1,2.6,59.7,106.4,43.9,5.6,41.4,46.7,70.4,1.9,75.3,147.6,49.0,2.7,47.7,72.4,726.3,50.0,380.5,1156.8,67.1,6.4,62.8,776.3,244.6,18.8,121.2,384.6,68.5,7.1,63.6,263.4,297.0,13.6,134.4,445.0,69.8,4.4,66.7,310.6
"2013Q1",102.8,19.4,107.0,229.1,53.3,15.9,44.8,122.1,37.0,6.2,28.6,71.9,60.2,14.4,51.5,43.3,44.5,5.6,24.9,75.0,66.8,11.1,59.4,50.1,485.8,27.4,113.9,627.1,81.8,5.3,77.5,513.2,169.9,8.1,29.7,207.7,85.7,4.6,81.8,178.0,181.2,5.4,32.1,218.7,85.3,2.9,82.9,186.6,133.8,5.9,165.7,305.4,45.7,4.2,43.8,139.7,47.9,2.8,54.9,105.7,48.0,5.6,45.3,50.8,74.9,1.5,76.6,153.0,49.9,2.0,48.9,76.4,722.3,52.7,386.6,1161.6,66.7,6.8,62.2,775.0,254.8,17.2,113.3,385.3,70.6,6.3,66.1,272.0,300.6,12.4,133.6,446.7,70.1,4.0,67.3,313.0
"2013Q2",93.5,15.2,116.0,224.7,48.4,14.0,41.6,108.8,36.3,7.9,29.3,73.5,60.1,17.8,49.4,44.2,47.6,5.3,24.0,77.0,68.8,10.1,61.9,53.0,488.3,28.2,114.3,630.7,81.9,5.5,77.4,516.5,170.3,7.1,29.0,206.4,85.9,4.0,82.5,177.3,181.9,6.6,30.8,219.4,85.9,3.5,82.9,188.5,140.6,5.9,163.8,310.3,47.2,4.1,45.3,146.6,49.7,1.3,54.9,105.9,48.2,2.5,46.9,51.0,73.6,"..",77.6,151.8,48.9,0.8,48.5,74.2,722.5,49.3,394.0,1165.8,66.2,6.4,62.0,771.8,256.3,16.3,113.2,385.8,70.6,6.0,66.4,272.5,303.1,12.6,132.4,448.1,70.5,4.0,67.6,315.7
"2013Q3",98.6,18.4,119.5,236.4,49.5,15.7,41.7,117.0,37.7,6.3,29.8,73.8,59.6,14.3,51.1,44.0,45.8,5.3,26.2,77.3,66.1,10.3,59.2,51.1,499.5,23.3,107.8,630.5,82.9,4.5,79.2,522.8,171.1,7.1,24.1,202.3,88.1,4.0,84.6,178.2,185.1,5.3,31.8,222.2,85.7,2.8,83.3,190.4,141.2,5.2,156.6,303.0,48.3,3.6,46.6,146.4,55.1,1.9,53.8,110.8,51.4,3.4,49.7,57.0,69.5,1.6,80.4,151.5,46.9,2.2,45.9,71.1,739.2,46.9,383.9,1170.0,67.2,6.0,63.2,786.1,263.9,15.3,107.7,386.9,72.2,5.5,68.2,279.1,300.4,12.1,138.4,450.9,69.3,3.9,66.6,312.5
