"High level industry by variable (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Primary industries","","","","","","","","","Goods-producing industries","","","","","","","","","Service industries","","","","","","","","","All industries","","","","","","","",""
" ","Actual","","","Seasonally adjusted","","","Trend","","","Actual","","","Seasonally adjusted","","","Trend","","","Actual","","","Seasonally adjusted","","","Trend","","","Actual","","","Seasonally adjusted","","","Trend","",""
" ","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued","Filled jobs","Earnings - cash","Earnings - accrued"
"2000M09",72462,138.618933,"..",77403,146.315130,"..",77416,149.248452,"..",291998,865.178991,"..",298441,865.178991,"..",298866,918.774362,"..",1091377,2699.533913,"..",1085578,2699.533913,"..",1085389,2855.349770,"..",1455837,3703.331837,"..",1461514,3703.331837,"..",1462275,3921.051107,".."
"2000M10",74897,146.427964,"..",77096,149.768969,"..",77723,150.553974,"..",294051,905.223255,"..",299368,905.223255,"..",300106,924.812325,"..",1095002,2788.129615,"..",1087279,2788.129615,"..",1087441,2875.574220,"..",1463950,3839.780834,"..",1463784,3839.780834,"..",1465584,3951.622675,".."
"2000M11",80928,157.344662,"..",78037,154.304910,"..",78182,152.053643,"..",302588,952.054504,"..",302583,952.054504,"..",301507,930.500074,"..",1105898,3058.344546,"..",1090653,3058.344546,"..",1089823,2895.426585,"..",1489414,4167.743712,"..",1471099,4167.743712,"..",1469214,3981.207190,".."
"2000M12",88429,180.569562,"..",78920,152.889409,"..",78719,153.723458,"..",308375,1095.561330,"..",302646,1095.561330,"..",302331,935.019089,"..",1098425,3139.128485,"..",1092974,3139.128485,"..",1092700,2912.817198,"..",1495229,4415.259377,"..",1474923,4415.259377,"..",1472969,4006.313026,".."
"2001M01",87530,160.326006,"..",79901,155.756991,"..",79253,155.550498,"..",305057,856.834269,"..",302256,856.834269,"..",302282,937.331676,"..",1052208,2789.976538,"..",1093327,2789.976538,"..",1096008,2926.089286,"..",1444795,3807.136813,"..",1475871,3807.136813,"..",1476715,4023.846995,".."
"2001M02",84510,154.887372,"..",79488,155.265262,"..",79730,157.517292,"..",306604,894.324494,"..",301753,894.324494,"..",301627,939.071073,"..",1077028,2765.919567,"..",1099002,2765.919567,"..",1099544,2938.894674,"..",1468142,3815.131433,"..",1479523,3815.131433,"..",1480402,4039.258505,".."
"2001M03",86909,180.718845,"..",80335,161.822648,"..",80140,159.561222,"..",302007,942.965969,"..",298187,942.965969,"..",301206,940.795157,"..",1109270,3056.815187,"..",1106160,3056.815187,"..",1103199,2952.493035,"..",1498186,4180.500001,"..",1485162,4180.500001,"..",1484302,4054.697232,".."
"2001M04",80525,157.340751,"..",80235,160.990004,"..",80485,161.645183,"..",301055,897.145399,"..",298723,897.145399,"..",301516,942.938542,"..",1110276,2847.865819,"..",1106607,2847.865819,"..",1106714,2967.897189,"..",1491856,3902.351969,"..",1486189,3902.351969,"..",1488498,4072.005478,".."
"2001M05",76860,157.898687,"..",80437,163.663798,"..",80865,163.736220,"..",307041,1026.412558,"..",304704,1026.412558,"..",302468,945.883132,"..",1119738,3216.505246,"..",1109143,3216.505246,"..",1109952,2986.542550,"..",1503639,4400.816491,"..",1493509,4400.816491,"..",1493065,4093.451192,".."
"2001M06",74290,151.091215,"..",82154,166.494147,"..",81410,165.797649,"..",303596,912.194949,"..",304628,912.194949,"..",303795,949.502831,"..",1120370,2827.256085,"..",1113717,2827.256085,"..",1112875,3005.932220,"..",1498256,3890.542249,"..",1500293,3890.542249,"..",1497833,4116.910415,".."
