"Electronic card transactions by mean and proportion (Monthly)","","","","","","","","","","","","","",""
"","Actual","","","","","","","","","","","","",""
" ","Mean transaction value","","Mean value of transaction per person","","Mean number of transactions per person","","ECT core retail as a proportion of core Retail Trade Survey","","ECT retail as a proportion of total Retail Trade Survey","","Credit card usage as a proportion of total ECT value","","Debit card usage as a proportion of total ECT value",""
" ","Proportion (%)","Value ($)","Proportion (%)","Value ($)","Proportion (%)","Value ($)","Proportion (%)","Value ($)","Proportion (%)","Value ($)","Proportion (%)","Value ($)","Proportion (%)","Value ($)"
"2005M01","..",53.3,"..","..","..","..",59.4,"..",52.0,"..",45.8,"..",54.2,".."
"2005M02","..",54.7,"..","..","..","..",58.1,"..",50.5,"..",47.3,"..",52.7,".."
"2005M03","..",54.6,"..","..","..","..",57.9,"..",49.8,"..",46.7,"..",53.3,".."
"2005M04","..",53.4,"..","..","..","..",60.0,"..",53.1,"..",45.1,"..",54.9,".."
"2005M05","..",52.7,"..","..","..","..",59.3,"..",51.2,"..",44.5,"..",55.5,".."
"2005M06","..",52.8,"..","..","..","..",58.3,"..",50.8,"..",44.2,"..",55.8,".."
"2005M07","..",53.3,"..","..","..","..",59.3,"..",51.8,"..",44.8,"..",55.2,".."
"2005M08","..",53.2,"..","..","..","..",57.9,"..",49.9,"..",44.8,"..",55.2,".."
"2005M09","..",53.0,"..","..","..","..",58.5,"..",51.7,"..",44.7,"..",55.3,".."
"2005M10","..",53.0,"..","..","..","..",59.8,"..",54.3,"..",45.1,"..",54.9,".."
"2005M11","..",54.4,"..","..","..","..",58.5,"..",52.5,"..",46.4,"..",53.6,".."
"2005M12","..",57.1,"..","..","..","..",59.7,"..",54.6,"..",46.2,"..",53.8,".."
"2006M01","..",53.6,"..","..","..","..",58.4,"..",52.8,"..",46.2,"..",53.8,".."
"2006M02","..",54.9,"..","..","..","..",56.7,"..",51.1,"..",47.6,"..",52.4,".."
"2006M03","..",54.9,"..","..","..","..",57.8,"..",51.5,"..",47.3,"..",52.7,".."
"2006M04","..",53.8,"..","..","..","..",60.3,"..",54.8,"..",45.3,"..",54.7,".."
"2006M05","..",54.0,"..","..","..","..",58.9,"..",52.7,"..",45.4,"..",54.6,".."
"2006M06","..",53.5,"..","..","..","..",59.9,"..",53.5,"..",44.6,"..",55.4,".."
"2006M07","..",53.8,"..","..","..","..",59.1,"..",53.5,"..",45.1,"..",54.9,".."
"2006M08","..",53.9,"..","..","..","..",59.2,"..",53.0,"..",45.1,"..",54.9,".."
"2006M09","..",53.1,"..","..","..","..",58.9,"..",52.9,"..",44.8,"..",55.2,".."
"2006M10","..",53.6,"..","..","..","..",59.3,"..",53.3,"..",45.6,"..",54.4,".."
"2006M11","..",55.2,"..","..","..","..",59.1,"..",53.2,"..",46.7,"..",53.3,".."
"2006M12","..",58.0,"..","..","..","..",61.4,"..",56.5,"..",46.3,"..",53.7,".."
"2007M01","..",54.3,"..","..","..","..",59.0,"..",53.2,"..",46.2,"..",53.8,".."
"2007M02","..",55.2,"..","..","..","..",57.6,"..",52.1,"..",47.2,"..",52.8,".."
"2007M03","..",54.8,"..","..","..","..",58.5,"..",52.1,"..",46.9,"..",53.1,".."
"2007M04","..",53.7,"..","..","..","..",59.8,"..",54.0,"..",44.9,"..",55.1,".."
"2007M05","..",53.1,"..","..","..","..",59.1,"..",52.4,"..",44.5,"..",55.5,".."
"2007M06","..",53.0,"..","..","..","..",62.1,"..",54.5,"..",44.1,"..",55.9,".."
"2007M07","..",53.4,"..","..","..","..",60.1,"..",53.1,"..",44.9,"..",55.1,".."
"2007M08","..",53.1,"..","..","..","..",61.4,"..",54.1,"..",44.4,"..",55.6,".."
"2007M09","..",52.9,"..","..","..","..",62.6,"..",55.5,"..",44.7,"..",55.3,".."
"2007M10","..",53.3,"..","..","..","..",62.5,"..",55.6,"..",45.3,"..",54.7,".."
"2007M11","..",54.9,"..","..","..","..",63.0,"..",55.9,"..",46.7,"..",53.3,".."
"2007M12","..",57.5,"..","..","..","..",63.1,"..",57.8,"..",46.3,"..",53.7,".."
"2008M01","..",53.8,"..","..","..","..",61.3,"..",55.0,"..",46.1,"..",53.9,".."
"2008M02","..",54.8,"..","..","..","..",61.0,"..",54.6,"..",47.2,"..",52.8,".."
"2008M03","..",54.1,"..","..","..","..",62.1,"..",55.7,"..",46.6,"..",53.4,".."
"2008M04","..",53.0,"..","..","..","..",62.0,"..",56.1,"..",45.5,"..",54.5,".."
"2008M05","..",52.9,"..","..","..","..",63.6,"..",57.7,"..",44.6,"..",55.4,".."
"2008M06","..",52.8,"..","..","..","..",61.4,"..",55.5,"..",44.8,"..",55.2,".."
"2008M07","..",53.7,"..","..","..","..",61.6,"..",56.2,"..",45.1,"..",54.9,".."
