"Totals - Electronic card transactions by division, percentage changes (Monthly)","","","","","","","","","","","",""
"","Actual","","","","","","Seasonally adjusted","","","","",""
" ","RTS total industries","","RTS core industries","","Total","","RTS total industries","","RTS core industries","","Total",""
" ","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period"
"2008M03",4.4,"..",2.7,"..",3.5,"..","..",0.0,"..",-0.3,"..",-0.4
"2008M04",5.5,"..",2.9,"..",7.3,"..","..",0.3,"..",-0.3,"..",1.2
"2008M05",8.3,"..",5.7,"..",7.6,"..","..",0.8,"..",0.3,"..",0.3
"2008M06",2.2,"..",-1.5,"..",2.7,"..","..",-0.4,"..",-1.7,"..",-0.5
"2008M07",6.6,"..",2.7,"..",6.9,"..","..",1.1,"..",1.9,"..",1.1
"2008M08",5.7,"..",3.1,"..",4.4,"..","..",0.9,"..",1.4,"..",0.4
"2008M09",3.6,"..",1.0,"..",5.4,"..","..",-0.3,"..",-0.4,"..",0.3
"2008M10",6.4,"..",5.2,"..",6.6,"..","..",0.4,"..",1.2,"..",0.6
"2008M11",1.4,"..",2.7,"..",0.0,"..","..",-1.0,"..",0.3,"..",-1.8
"2008M12",1.9,"..",3.3,"..",1.3,"..","..",0.3,"..",1.1,"..",-0.4
"2009M01",3.3,"..",6.1,"..",1.6,"..","..",-0.5,"..",-0.2,"..",-0.2
"2009M02",-1.4,"..",-0.2,"..",-2.7,"..","..",1.2,"..",0.7,"..",1.0
"2009M03",1.4,"..",3.2,"..",1.6,"..","..",-0.1,"..",0.2,"..",0.1
"2009M04",3.1,"..",5.9,"..",1.7,"..","..",0.1,"..",0.2,"..",0.2
"2009M05",1.6,"..",5.3,"..",0.3,"..","..",0.8,"..",1.1,"..",0.7
"2009M06",2.3,"..",5.7,"..",2.4,"..","..",-0.8,"..",-2.1,"..",-0.4
"2009M07",2.7,"..",6.9,"..",2.6,"..","..",0.8,"..",2.1,"..",1.0
"2009M08",1.2,"..",4.2,"..",1.2,"..","..",0.7,"..",0.4,"..",0.6
"2009M09",2.5,"..",5.3,"..",1.9,"..","..",0.3,"..",0.2,"..",0.4
"2009M10",2.2,"..",4.5,"..",1.2,"..","..",-0.8,"..",-0.7,"..",-0.5
"2009M11",2.3,"..",2.1,"..",2.7,"..","..",0.8,"..",0.2,"..",0.1
"2009M12",4.2,"..",3.2,"..",4.6,"..","..",1.1,"..",1.0,"..",1.4
"2010M01",3.5,"..",2.0,"..",3.7,"..","..",-0.1,"..",-0.4,"..",0.2
"2010M02",3.2,"..",2.3,"..",3.9,"..","..",0.3,"..",0.5,"..",0.0
"2010M03",5.7,"..",4.3,"..",6.4,"..","..",1.7,"..",1.6,"..",1.8
"2010M04",3.4,"..",1.8,"..",3.7,"..","..",-2.0,"..",-2.5,"..",-2.3
"2010M05",2.4,"..",1.2,"..",2.6,"..","..",0.8,"..",1.7,"..",0.9
"2010M06",4.6,"..",4.1,"..",4.7,"..","..",0.8,"..",0.2,"..",1.1
"2010M07",4.6,"..",4.1,"..",3.7,"..","..",0.1,"..",0.9,"..",-0.2
"2010M08",1.8,"..",1.2,"..",3.0,"..","..",0.1,"..",0.0,"..",0.7
"2010M09",5.2,"..",4.8,"..",5.0,"..","..",1.6,"..",1.6,"..",1.3
"2010M10",4.9,"..",4.1,"..",4.0,"..","..",0.5,"..",-0.1,"..",0.1
"2010M11",6.4,"..",5.7,"..",7.1,"..","..",1.1,"..",1.0,"..",1.2
"2010M12",6.3,"..",5.4,"..",5.9,"..","..",0.6,"..",0.0,"..",0.2
"2011M01",6.0,"..",5.0,"..",5.1,"..","..",0.6,"..",0.5,"..",0.6
"2011M02",5.9,"..",4.6,"..",5.9,"..","..",0.0,"..",-0.2,"..",0.4
"2011M03",6.1,"..",4.9,"..",5.6,"..","..",1.3,"..",1.5,"..",1.3
"2011M04",9.9,"..",9.0,"..",8.6,"..","..",1.5,"..",0.9,"..",0.9
"2011M05",6.3,"..",5.1,"..",7.0,"..","..",-0.9,"..",-0.1,"..",-0.5
"2011M06",8.6,"..",8.1,"..",7.7,"..","..",0.8,"..",1.0,"..",0.5
"2011M07",7.9,"..",7.6,"..",6.5,"..","..",1.3,"..",2.0,"..",0.9
"2011M08",8.0,"..",7.3,"..",7.7,"..","..",-1.3,"..",-1.4,"..",-0.4
"2011M09",7.2,"..",6.5,"..",6.3,"..","..",1.1,"..",0.7,"..",0.4
"2011M10",7.4,"..",6.5,"..",6.9,"..","..",1.3,"..",0.9,"..",1.5
"2011M11",6.1,"..",4.8,"..",5.8,"..","..",-0.5,"..",-1.0,"..",-0.1
"2011M12",5.8,"..",5.3,"..",5.5,"..","..",-0.2,"..",-0.4,"..",-0.2
"2012M01",4.9,"..",4.1,"..",5.6,"..","..",1.6,"..",1.5,"..",1.1
"2012M02",8.9,"..",8.7,"..",9.2,"..","..",-0.7,"..",-0.5,"..",-0.1
"2012M03",6.4,"..",6.4,"..",5.7,"..","..",0.7,"..",0.6,"..",0.5
"2012M04",1.9,"..",1.6,"..",1.9,"..","..",0.7,"..",0.2,"..",0.2
"2012M05",6.5,"..",5.6,"..",6.8,"..","..",0.6,"..",0.9,"..",1.1
"2012M06",6.1,"..",5.7,"..",5.7,"..","..",0.2,"..",0.6,"..",0.0
"2012M07",1.6,"..",0.5,"..",2.3,"..","..",-0.1,"..",0.3,"..",-0.6
"2012M08",7.6,"..",5.6,"..",6.7,"..","..",1.5,"..",0.3,"..",1.7
"2012M09",4.8,"..",2.7,"..",3.3,"..","..",0.5,"..",0.1,"..",0.5
"2012M10",3.4,"..",1.4,"..",4.3,"..","..",-0.4,"..",-0.3,"..",-0.4
"2012M11",6.6,"..",5.7,"..",5.9,"..","..",0.6,"..",0.9,"..",0.6
"2012M12",4.0,"..",3.5,"..",3.1,"..","..",0.4,"..",0.5,"..",0.6
"2013M01",6.2,"..",5.1,"..",6.3,"..","..",1.1,"..",0.7,"..",0.9
"2013M02",2.7,"..",1.6,"..",2.1,"..","..",0.3,"..",0.0,"..",0.5
"2013M03",4.7,"..",3.1,"..",3.3,"..","..",0.2,"..",-0.4,"..",-0.3
"2013M04",5.7,"..",4.7,"..",6.7,"..","..",0.6,"..",1.1,"..",1.4
"2013M05",6.1,"..",5.1,"..",5.7,"..","..",0.1,"..",0.2,"..",-0.3
"2013M06",5.5,"..",3.4,"..",4.6,"..","..",1.5,"..",1.1,"..",1.4
"2013M07",7.6,"..",4.6,"..",8.1,"..","..",0.4,"..",-0.1,"..",0.3
"2013M08",6.6,"..",5.6,"..",6.2,"..","..",0.3,"..",0.7,"..",0.6
"2013M09",3.7,"..",2.5,"..",4.8,"..","..",-0.3,"..",-0.7,"..",-0.3
"2013M10",7.2,"..",6.4,"..",7.1,"..","..",1.2,"..",1.9,"..",1.1
"2013M11",6.8,"..",6.0,"..",6.2,"..","..",0.3,"..",0.2,"..",0.3
"2013M12",5.4,"..",4.1,"..",6.0,"..","..",0.9,"..",0.9,"..",0.8
"2014M01",6.0,"..",4.9,"..",6.4,"..","..",-0.5,"..",-1.0,"..",-0.3
"2014M02",5.8,"..",4.9,"..",5.8,"..","..",0.7,"..",0.7,"..",0.8
"2014M03",4.8,"..",4.8,"..",5.1,"..","..",-0.1,"..",0.3,"..",-0.2
"2014M04",5.4,"..",5.0,"..",4.5,"..","..",0.8,"..",0.9,"..",0.4
"2014M05",7.1,"..",6.9,"..",6.5,"..","..",0.8,"..",0.9,"..",1.1
"2014M06",3.5,"..",3.3,"..",4.5,"..","..",-0.3,"..",-0.3,"..",-0.3
"2014M07",4.6,"..",5.7,"..",4.5,"..","..",0.4,"..",1.0,"..",0.1
"2014M08",3.6,"..",4.4,"..",2.8,"..","..",0.7,"..",0.6,"..",0.6
"2014M09",4.7,"..",5.5,"..",4.9,"..","..",-0.4,"..",-0.4,"..",-0.1
"2014M10",5.2,"..",6.0,"..",5.5,"..","..",0.9,"..",1.1,"..",1.1
"2014M11",3.2,"..",4.4,"..",2.9,"..","..",0.3,"..",0.7,"..",0.4
"2014M12",3.7,"..",5.4,"..",4.5,"..","..",0.0,"..",0.6,"..",-0.1
"2015M01",4.5,"..",8.0,"..",4.3,"..","..",-0.2,"..",0.6,"..",0.0
"2015M02",4.0,"..",7.3,"..",3.8,"..","..",0.8,"..",0.7,"..",0.5
"2015M03",3.7,"..",6.1,"..",4.6,"..","..",1.0,"..",0.9,"..",1.2
"2015M04",3.9,"..",6.4,"..",4.2,"..","..",-0.9,"..",-0.8,"..",-1.0
"2015M05",3.2,"..",5.0,"..",3.0,"..","..",1.8,"..",1.1,"..",1.8
"2015M06",5.0,"..",6.1,"..",5.9,"..","..",0.2,"..",-0.1,"..",0.5
"2015M07",5.6,"..",6.6,"..",6.8,"..","..",0.6,"..",0.5,"..",0.9
"2015M08",4.2,"..",5.7,"..",5.0,"..","..",0.7,"..",1.4,"..",0.4
"2015M09",6.1,"..",7.7,"..",6.4,"..","..",0.8,"..",0.9,"..",0.7
"2015M10",5.8,"..",7.8,"..",5.4,"..","..",-0.3,"..",0.1,"..",-0.3
